global_val,key_val,indegree_val,vdr,mttfb,score,negative_score
0.45266643204217655,0.10424393059867922,0.44308963735914425,0.8,129.4,0.49529999999999996,-0.49529999999999996
0.522334984317205,0.3901717053591802,0.0874933103236147,0.79,133.98,0.48600999999999994,-0.48600999999999994
0.49074263368359355,0.35659322336575017,0.15266414295065625,0.79,133.29,0.4863549999999999,-0.4863549999999999
0.455390056934864,0.0394680091176779,0.505141933947458,0.8,128.51,0.49574499999999994,-0.49574499999999994
0.4859082569857175,0.00040318327225768893,0.5136885597420248,0.8,127.66,0.49616999999999994,-0.49616999999999994
0.499499290121517,0.49478456391136105,0.0057161459671219005,0.8,127.72,0.4961399999999999,-0.4961399999999999
0.0243352034656005,0.5537361360761444,0.4219286604582551,0.8,127.39,0.49630499999999994,-0.49630499999999994
0.03723742551628565,0.7770198922909869,0.18574268219272752,0.81,121.77,0.506115,-0.506115
0.08301439951707558,0.5665706138778879,0.35041498660503656,0.79,133.07,0.4864649999999999,-0.4864649999999999
0.4256532033920519,0.2020676156572515,0.3722791809506965,0.78,139.37,0.47631499999999993,-0.47631499999999993
0.5946371261825801,0.39376835525688686,0.011594518560533068,0.79,132.65,0.4866749999999999,-0.4866749999999999
0.4982804636868881,0.29789321945534175,0.2038263168577701,0.8,127.52,0.49623999999999996,-0.49623999999999996
0.03272540541705757,0.4732540828970352,0.4940205116859072,0.78,139.92,0.4760399999999999,-0.4760399999999999
0.3213157534201575,0.28686082350208136,0.39182342307776113,0.81,120.36,0.5068199999999999,-0.5068199999999999
0.23218645744869143,0.5237456152853737,0.24406792726593496,0.8,126.86,0.49656999999999996,-0.49656999999999996
0.5440286236632234,0.30620701836560404,0.14976435797117268,0.77,143.68,0.4671599999999999,-0.4671599999999999
0.39388119062671956,0.02172575267342264,0.5843930566998579,0.8,126.22,0.49688999999999994,-0.49688999999999994
0.25387416291001397,0.22305172525491443,0.5230741118350716,0.81,120.88,0.5065599999999999,-0.5065599999999999
0.44775679753305775,0.20104011942919442,0.3512030830377479,0.8,126.39,0.49680499999999994,-0.49680499999999994
0.22386644125596356,0.4131336531418085,0.3629999056022279,0.79,131.66,0.48716999999999994,-0.48716999999999994
0.3534474300149358,0.25227782798900544,0.3942747419960588,0.8,126.22,0.49688999999999994,-0.49688999999999994
0.1897995906462866,0.22362854381804345,0.58657186553567,0.8,128.8,0.49559999999999993,-0.49559999999999993
0.31330178329523367,0.26408843108169844,0.422609785623068,0.79,132.4,0.48679999999999995,-0.48679999999999995
0.3556318469088927,0.2835879784534742,0.3607801746376332,0.83,108.67,0.5266649999999999,-0.5266649999999999
0.36809259956473966,0.298123993198664,0.3337834072365964,0.81,121.57,0.506215,-0.506215
0.3788075376935575,0.26432947081624153,0.3568629914902009,0.8,126.15,0.49692499999999995,-0.49692499999999995
0.281532537416224,0.3142759173048675,0.4041915452789085,0.77,144.11,0.46694499999999994,-0.46694499999999994
0.35123222684777644,0.2877586880809964,0.3610090850712271,0.8,126.96,0.49651999999999996,-0.49651999999999996
0.3650972322778298,0.29400109631226795,0.3409016714099023,0.81,123.09,0.505455,-0.505455
0.07121179096419952,0.6656928469971286,0.2630953620386719,0.8,126.76,0.49661999999999995,-0.49661999999999995
0.0649439447101365,0.5295810680758546,0.40547498721400893,0.81,122.09,0.5059549999999999,-0.5059549999999999
8.627298416659558e-05,0.5480265053341407,0.4518872216816927,0.8,127.32,0.49633999999999995,-0.49633999999999995
0.10750272371085,0.47442004578650127,0.4180772305026489,0.79,132.93,0.48653499999999994,-0.48653499999999994
0.40110374740027915,0.44745816735208205,0.15143808524763883,0.78,139.58,0.4762099999999999,-0.4762099999999999
0.3044191728781957,0.2626252818050772,0.4329555453167271,0.79,133.39,0.48630499999999993,-0.48630499999999993
0.3442169831182179,0.28074595619586706,0.3750370606859151,0.79,133.23,0.48638499999999996,-0.48638499999999996
0.36941794824182,0.2725720388168396,0.3580100129413405,0.79,133.22,0.48638999999999993,-0.48638999999999993
0.3756657527613385,0.2831279133924466,0.3412063338462149,0.79,132.58,0.4867099999999999,-0.4867099999999999
0.35310226508047093,0.2856256494178304,0.36127208550169876,0.79,133.81,0.48609499999999994,-0.48609499999999994
0.48987725279892297,0.37333906287610497,0.13678368432497212,0.8,127.59,0.49620499999999995,-0.49620499999999995
0.2490705068270131,0.32577722684682026,0.42515226632616665,0.79,133.25,0.48637499999999995,-0.48637499999999995
0.02559179847813981,0.929462551954996,0.04494564956686399,0.81,121.66,0.50617,-0.50617
0.053600389907654936,0.47765342773732056,0.4687461823550245,0.77,144.14,0.46692999999999996,-0.46692999999999996
0.483792300818741,0.29725067379841474,0.21895702538284426,0.81,121.08,0.5064599999999999,-0.5064599999999999
0.4456680915584123,0.2971648797174351,0.2571670287241526,0.82,114.58,0.51671,-0.51671
0.35151095176054775,0.41970437112308456,0.22878467711636763,0.81,121.87,0.506065,-0.506065
0.3542563168010042,0.003096185861218641,0.6426474973377773,0.8,126.81,0.49659499999999995,-0.49659499999999995
0.08988101593547214,0.590689465612058,0.3194295184524698,0.77,144.29,0.4668549999999999,-0.4668549999999999
0.480832260180522,0.3417510321661356,0.1774167076533424,0.8,126.22,0.49688999999999994,-0.49688999999999994
0.38339194189312786,0.38467823617085284,0.2319298219360193,0.8,126.11,0.49694499999999997,-0.49694499999999997
